,keyword,type,text,literal,neu_diff,pos_diff,neg_diff,off_diff,n-off_diff
17,perish,perish,"It is then only, when we ""behold"" by faith ""what manner of love the Father Son, that we might not perish, but have everlasting life, that"" the love of God is shed abroad in our heart by the Holy Ghost which is given unto us. ""It is only then, when we"" rejoice in hope of the glory of God, ""that"" we love Him because he first loved us. "" But what can cold reason do in this matter? ",to die,0.003775574,-0.003628364,0.08378091,-0.032868269,0.002691701
18,perished,perish,"Nine people died in Santiago, including a four-month old infant who was among four people who perished when a house caved in. ",died,0.086616938,-0.000597792,-0.005297385,-0.042735258,0.013310751
19,perished,perish,"All its occupants perished except Krishna, an avatar of Vishnu, and his brother Balarama, who were walking in the forests of Raivataka Hill. ",died,-0.031268768,-0.063986966,0.038950122,-0.043253915,0.013294714
20,perish,perish,"In Fragment VIII, verses 15-16, the Goddess proclaims: ""Justice has not loosened the shackles of Being allowing it to be born nor to perish, but holds it fast."" And, the Goddess continues: ""her Justice's decision about these matters consists in this: it is or it is not."" (15) ",to die,-0.012802327,-0.113455375,0.163850414,-0.024297109,0.002989223
21,perish,perish,"Jesus tells us that those who perished were not any more evil than those who did not, but they also would perish as they did if they did not repent. ",to die,0.065077741,0.044060115,-0.10889583,0.018869585,-0.008787884
22,perish,perish,"Can't say for sure what it will be like, but you can bet it will awhile ago, that something like 50 to 70% would perish in the first thirty to sixty days for a variety of reasons, but the most common being the stress and lack of pharmaceuticals. ",to die,0.004712232,-0.023744529,-0.000925732,-0.065069468,0.016201416
23,perished,perish,"Nor has it set itself up as a judge of what might be ethically proper or improper for the Ruler of this earth to do in dealing with the vile and utterly-depraved inhabitants of Canaan, with Sodom and other scenes of catastrophes in which thousands of the innocent have suffered and perished; it still holds fast to the theory that what is done by the Judge of all the earth is right. ",died,-0.02717267,-0.025429428,0.009512036,0.023895394,-0.015286211
24,perish,perish,"Many perish in these ways; but none will ever find rest to the soul by such devices; while those whom Christ heals of the disease of sin, find in themselves an entire change for the better. ",to die,0.008065076,0.042937005,-0.050129092,-0.041191708,0.015852549
25,perish,perish,"John 3:16-18-For God so should not perish, but have everlasting life.",to die,0.150237876,-0.082009276,0.212566864,-0.005903579,0.000756709
26,perished,perish,The whole of mankind would have perished if the pelican had not picked up survivors in his canoe. ,died,0.029303653,-0.031044026,-0.008253119,-0.001274242,0.000517602
27,perish,perish,"For as many as have sinned without law shall also perish without law: and as many as have sinned in the law shall be judged by the law; For not the hearers of the law are just before God, but the doers of the law shall be justified. ",to die,0.005743216,0.031309826,-0.011618083,-0.018881568,0.007151032
28,perish,perish,"As MLK said in one of his speeches, ""sisters ) or perish together as fools"". ",to die,0.012062729,0.017618493,-0.010094915,-0.012032473,0.031681109
29,perished,perish,"Koehler suffered cardiac arrest and perished slumped over his steering wheel at a stop sign in Pittsburgh because he didn't have health insurance and didn't have $60,000 to replace his implanted defibrillator. ",died,-0.284773811,-0.336085004,0.045892517,0.060235626,-0.02540399
30,perish,perish,"In all, four drivers would perish in the World Championship during the 1958 season. ",to die,0.057404331,-0.03669014,-0.026681628,0.070424809,-0.020784126
31,perished,perish,"People hurried to their canoes, but many didn't make it, and more perished when they couldn't find sheltered places. ",died,-0.147062033,-0.168132012,0.032366156,-0.040702117,0.010288671
32,passing on,pass on,"She was a tireless advocate for early detection and research for a cure until her passing on March 4, 1996. ",dying,0.08118468,-0.089704582,0.615044029,0.303829223,-0.028448643
33,pass on,pass on,The folks who believe that Mr. Lucas Lucas does not need the money he just wants his projects to go further in life of this world as most of us will pass on Over to the Other Side. ,to die,-0.20655076,-0.479384273,1.760394677,1.315722912,-0.113959032
34,pass on,pass on,"In addition to this, it is possible that it causes a person's soul to ""pass on"", and leave the body, similar to when the body dies naturally, and the soul passes on into whatever afterlife there may be. ",to die,-0.223621208,-0.330362059,0.406839758,0.097048557,-0.037907782
35,pass on,pass on,"If most of them are like this fellow, they'll just continue to live in their own little universe as it wraps itself tighter and tighter until it evaporates like a small black hole when most of them pass on. ",to die,-0.328338381,-0.459734439,0.325082606,0.243236524,-0.218728767
36,pass on,pass on,"We were discussing Sylvanas' leader story and her new purpose, which led to the idea of her being stewardess of the Forsaken as they pass on. ",to die,-0.104122779,-0.219017727,3.53093091,1.046879499,-0.092647084
37,passing on,pass on,He passed on a story about passing on a story: ,dying,-0.152651213,-0.325848688,2.114408419,1.931153567,-0.123896135
38,passed away,pass away,"Each month, our community managers update our ""In Memoriam"" thread in the PatientsLikeMe forum with a list of members who have passed away during the previous month, and they include links to each profile. ",died,-0.066778572,-0.123327564,0.327316819,0.388067914,-0.03165192
39,passed away,pass away,"Matthew In 2008, my first fianc passed away after a car accident. ",died,-0.492118176,-0.516058624,0.187265936,0.309902405,-0.068534811
40,passed away,pass away,"My dad, after battling cancer for 10 months, passed away on July 6. ",died,-0.280547753,-0.276714117,0.035998426,0.243681934,-0.045751259
41,passed away,pass away,"My great-aunt passed away-- she was the only one in the family with any money-- and left me a little something, which I used to pay off those credit card bills. ",died,-0.155139786,-0.210998923,0.443431673,0.195574242,-0.033102621
42,passed away,pass away,"I've had two Sisters in my family, both passed away in 2011 within months of each other. ",died,-0.383513367,-0.455361844,0.125001232,0.310872812,-0.046025497
43,passed away,pass away,My grandfather passed away four weeks ago. ,died,-0.08127752,-0.262896156,0.021596337,0.179799618,-0.035273595
44,passing away,pass away,This story should have been just about Kathleen passing away. ,dying,-0.35500477,-0.371646864,0.357455303,0.51174292,-0.222221272
45,pass away,pass away,He keeps hoping the dog will pass away in his sleep so he won't have to do it. ,to die,-0.096166137,-0.308071543,0.213067606,0.310818528,-0.15047449
46,passing away,pass away,The baby boomer generation (which I'm on the tail end of it) is the generation referred to as not passing away. ,dying,-0.084056532,0.459702336,-0.17514134,0.112169748,-0.04072141
47,passing away,pass away,She goes through all the stages of grief associated with dying and is able to say her final goodbyes before finally passing away. ,dying,-0.017754339,0.023197198,0.017781114,0.010113197,-0.001947095
48,pass away,pass away,"1403 At the Last Supper the Lord himself directed his disciples' attention toward the fulfillment of the Passover in the kingdom of God: ""I tell you I shall not drink again of this fruit of the vine until that day when I drink it new with you in my Father's kingdom."" 243 Whenever the Church celebrates the Eucharist she remembers this promise and turns her gaze ""to him who is to come."" In her prayer she calls for his coming: ""Marana tha!"" ""Come, Lord Jesus!"" 244 ""May your grace come and this world pass away!"" 245 ",to die,0.123070639,-0.136273557,0.841611935,0.154084082,-0.013848605
49,pass away,pass away,I had a baby sister pass away from similar problems and I have a taste of what that level of grief is like. ,to die,-0.360967784,-0.375252641,0.07028196,0.43937248,-0.084629896
50,passed away,pass away,"I'm also reading the last book Toshisada Nishida, the eminent Japanese primatologist, wrote before he passed away recently. ",died,-0.024194096,-0.138665779,0.381916821,0.264549571,-0.030739611
51,passed away,pass away,"He passed away on 4/16/2010 because of PTSD.We were sure that our son &; myself would be compensated nicely instead we have been denied all benefits except commisary, what's wrong with this goverment. ",died,-0.173876407,-0.210165937,0.010721518,0.290142449,-0.064393187
52,passed away,pass away,I had a dream about my MIL after she passed away that was sooooo real i still felt the big hug she was giving me when i woke up. ,died,0.157330581,-0.032308968,0.326431372,0.315480551,-0.046798681
53,passed away,pass away,"He's passed away but he started out as a realistic public works artist in the' 30s then he completely freaked out and went completely abstract overnight and people were like, "" Why are you doing this? ",died,-0.122315686,-0.156099465,0.096055606,0.800971049,-0.149060871
54,passed away,pass away,His child has just passed away. ,died,-0.5748999,-0.524752183,0.119963177,0.736339841,-0.163146599
55,pass away,pass away,"When parents pass away, fall ill or become overwhelmed, older siblings may adjust and fill the role of the guardian. ",to die,0.005504563,-0.104904469,0.001168821,0.203817776,-0.03683609
56,neutralize,neutralize,"The recommendations were accepted by the President, and a directive was at once sent General MacArthur authorizing him to use of the 38th parallel, and instructing him to neutralize Formosa by the use of the Seventh Fleet. ",kill,0.130979105,-0.412429166,2.192382738,0.901838096,-0.13488859
57,neutralize,neutralize,Another 11 percent were found to have antibodies in their blood that would neutralize rabies. ,kill,-0.505174264,-0.832318529,6.115100912,0.381164378,-0.158716644
58,neutralize,neutralize,"ComNavFE's Operation Order 5-50, issued that evening, instructed the Seventh Fleet to conduct surface and air operations to neutralize Formosa. ",kill,-0.219678306,-0.299195232,3.590649024,0.475585614,-0.079748579
59,neutralize,neutralize,"No nation, empire or military force in history has been able to neutralize a resistance movement, and Israel is no exception. ",kill,0.031598806,0.344608655,-0.025222884,0.525637681,-0.096811222
60,neutralize,neutralize,"Kurama shoots the dog, but then Sensui reveals the other side of the plan: Koenma was really the only character who had the power to stop him all by himself, and Sensui needed to neutralize him. ",kill,-0.23917783,-0.289031669,0.704521501,0.586192392,-0.191325508
61,neutralized,neutralize,"When the Thraki admiral refused to believe that the Sheen had been neutralized and attempted to launch ""the twins"", the Confederacy vaporized the ship carrying these weapons. ",killed,-0.104745998,-0.148537254,0.069325343,0.204376767,-0.061324043
62,neutralize,neutralize,"Published FBI papers included this gem: ""It should also be a goal of the Counterintelligence Program to pinpoint potential troublemakers and neutralize them before they exercise their potential for violence."" This was one reason the program was found to be illegal and contrary to the Constitution by a Senate committee headed by Frank Church. ",kill,-0.352179117,-0.482389916,0.201944501,0.500600955,-0.163248638
63,neutralize,neutralize,"Any ambiguities in meaning, moreover, are easily resolved by context: the reference in the manual is to'selective use of violence'to neutralize opponents.? ",kill,-0.151854098,-0.439053106,0.796615447,0.413167661,-0.071727477
64,tinkle,tinkle,"We're just getting back what was TAKEN from us from a greedy president who only had the elite in mind, Trickle down economy my $$, it was the-iss on you economy for 8 years, Tinkle on you economy, the-- it rolls downhill economy under Bush, and McCain vowed to keep it going. ",urinate,-0.071474533,-0.106008616,0.043705771,0.052904263,-0.042634317
65,tinkle,tinkle,"I think AB390 will pass next year now that the CMA has made its proclamation, and you'll be shocked to learn that you still likely won't have any protection from being fired if you agree to provide your tinkle for a test and test positive. ",urinate,-0.047542319,-0.125034774,0.058208352,1.240760795,-0.159168795
66,overweight,overweight,I see so many overweight children at the school I work with eating junk food. ,fat,0.018976386,0.049611893,-0.001074918,0.268573388,-0.33749018
67,overweight,overweight,"The closing of Loserville, playing in London was ""almost entirely due to those slightly overweight white, male, middle-class critics in their late-50s who closed it."" The Guardian (UK) 11/16/12 ",fat,-0.029055868,-0.032990408,0.038036158,0.407518113,-0.138597977
68,overweight,overweight,"I truly don't judge her for being overweight, but I judge her for being a 40 year old person in the public eye who overreacted to this extent. ",fat,-0.037280156,-0.082995736,0.012133715,0.469887148,-0.414362915
69,overweight,overweight,"Other research has shown that people who regularly skip breakfast are statistically 4.5 times more likely to be overweight, and people who eat breakfast tend to eat fewer calories all day. ",fat,0.046255597,-0.024301262,-0.055771959,0.263711487,-0.04641152
70,overweight,overweight,"My sister has been overweight a lot of her adult life, and it's been hell on her self-image. ",fat,0.147040451,0.131796311,-0.013054992,0.349666497,-0.293915546
71,overweight,overweight,"An unhealthy diet is a major risk factor for a number of chronic diseases including: high blood pressure, diabetes, abnormal blood lipids, overweight/obesity, cardiovascular diseases, and cancer. ",fat,0.00957633,-0.004327948,-0.000725228,-0.003530993,0.00192652
72,overweight,overweight,"Recent data point to more than a billion adults in the world suffering from overweight, of which 300 million are clinically obese. ",fat,-0.001561252,-0.059850667,0.001131736,0.195741739,-0.112271046
73,overweight,overweight,"Because if you're wrong, you've just told that person that she's overweight and totally looks it. ",fat,-0.144978845,-0.236994284,0.067158476,0.645884267,-0.452528669
74,overweight,overweight,"You have to have stopped growing, for one thing, and be at least 100 lbs overweight with a BMI of over 40. ",fat,0.145895986,0.035132688,-0.103466428,0.378558301,-0.131683476
75,overweight,overweight,"And of course, lots of enjoyable exercise is essential. two other rarely mentioned factors that I think are absolutely a part of being overweight: too much stress, and not enough sleep. ",fat,0.019759733,0.072201271,-0.029809102,0.461541284,-0.08711336
76,overweight,overweight,"Lose weight if you are overweight, but avoid low-carbohydrate diets that are designed for quick weight loss. ",fat,-0.014292916,-0.067026426,0.07291431,0.511802631,-0.081498961
77,overweight,overweight,"Because of the research she and Max completed on their own, she knows that Pelant was overweight in high school (a discrepancy from the computer generated photos the rest of the Jeffersonian team found of him online). ",fat,-0.029251853,-0.08256501,0.147037732,1.786154779,-0.15555829
78,overweight,overweight,"And as a former overweight kid and adult, I feel I can ",fat,-0.023204876,0.004717834,0.189955702,0.80501333,-0.448254374
79,overweight,overweight,Between 25 and 30 is considered overweight officials have found. ,fat,0.171518407,-0.008196629,-0.227607455,0.751356672,-0.197519475
80,overweight,overweight,"This girl obviously knows she's overweight, she doesn't need some jackas to tell her. ",fat,-0.180851369,-0.279354775,0.072135593,0.113372648,-0.334843961
81,overweight,overweight,"Also, there's a good bit of mounting evidence that once you've been overweight or obese (regardless of why: lifestyle or genetics) it's physiologically harder not only to lose the weight, but to keep it off. ",fat,-0.020802623,-0.087808735,0.013351284,0.239895194,-0.054164355
82,overweight,overweight,I totally agree that there are many cases where overweight people just don't have the self-discipline to do what it takes to lose the weight. ,fat,-0.08402476,-0.165294826,0.066405509,1.050578647,-0.249789221
83,overweight,overweight,"She was overweight, her knees hurt, and she really didn't eat much. ",fat,0.168717399,0.115828533,-0.01504999,0.446381563,-0.297509296
84,overweight,overweight,"Also, adult women are those who eat the least amount of calories but yet they are the most overweight, at least in the U.S (1). ",fat,0.085186607,0.042471643,-0.062108861,0.279738679,-0.094809063
85,aging,aging,"But any team who wants to the title now, or next season, has to at least think about how it stacks up against the newish Heat-- especially if that team is built around aging stars and/or plays in the Eastern Conference. ",getting old,0.023082057,0.070326406,-0.188757421,-0.100621041,0.017093716
86,aging,aging,"Having dependents other than a spouse, usually children, but sometimes others such as an aging parent pursuing their undergraduate degree don't follow the traditional path of high school then a move to an on-campus 4-year degree. ",getting old,-0.002620278,0.019691186,0.001896136,0.036245455,-0.005343044
87,aging,aging,It is now recognized that molecules that regulate aging can also affect early neuronal development. ,getting old,-0.014564322,0.004053936,0.180665858,0.107110041,-0.021797647
88,aging,aging,The red-ties make the prospect of aging a tante-clenching fear. ,getting old,-0.089870637,-0.085613874,0.059695039,0.01461077,-0.005466752
89,aging,aging,"While Rodriguez vowed that he would not waive his no-trade and will come back with ""something to prove,"" you can bet the Yankees will attempt to move the remaining five years of his majority of the contract and moving him is better than heading into another season with an aging player who has a degenerative hip that is not going to get better. ",getting old,-0.075875222,-0.095899095,0.080473001,0.080395617,-0.020520542
90,aging,aging,"Ivan lives in captivity in a ""domain"" (cage) at a financially struggling shopping mall, with Stella, an aging elephant needing more costly medical care than the owner can provide, and Bob, a stray dog, as his daily companions, and frequent kind visits from the night janitor's daughter. ",getting old,0.030429326,0.03868528,-0.0319573,0.005877573,-0.002756329
91,aging,aging,"Add the fact that our parents get sick and tired of suffering the indignities of aging and often feel bossed around by everyone from the government to their kids, and you can understand why they often get stubborn. ",getting old,-0.180958284,-0.187817136,0.027932479,0.04643529,-0.022422854
92,aging,aging,What aging person in his right mind wants to go where unfettered technology will drag him? ,getting old,0.057389228,0.009379228,-0.026715406,0.028831576,-0.024576951
93,aging,aging,"If Republicans hope to make inroads with people who do not already comprise their aging, racially-homogenous base, they absolutely can not be associated with this kind of nonsense any longer. ",getting old,-0.126414447,-0.152345989,0.018695589,0.058903372,-0.056104324
94,aging,aging,"The film also looks at his relationship with his aging grandfather, a refugee of the 1948 war, whose conversations reveal their differing ideologies. ",getting old,-0.017314249,0.03563293,0.106184699,0.019952038,-0.003983798
95,aging,aging,"Heart attacks, strokes, and other causes related to aging and worn out bodies fit into this category. ",getting old,-0.220837835,-0.178411059,0.055705587,0.114437921,-0.07816711
96,aging,aging,COLUMBUS-The Ohio Departments of Aging and Veterans Services have released the first contributions to the departments' joint War Era Story Project. ,getting old,0.018459839,-0.130277328,0.706707266,0.115738293,-0.009030224
97,aging,aging,"Some family lives only miles from us, but my aging parents live in the' burbs between Baltimore and Washington-- NOT the place to be! ",getting old,-0.084330598,-0.096041573,0.022044532,0.034550849,-0.016107215
98,aging,aging,"At first glance, raising the retirement age seems like a straightforward change that simply recognizes the demographic realities of aging. ",getting old,0.028153946,-0.179805858,0.816430986,0.162917873,-0.027151824
99,aging,aging,And seeing an aging Bilbo leaving Middle Earth won't be nearly as emotional. ,getting old,-0.031548611,-0.075625166,0.044926192,0.046191984,-0.011962661
100,aging,aging,"In another study, it has been found that more than 800 international units ( reducing the chances of hip fractures in older women by 30 percent. ""Vitamin D supplementation is effective in fracture reduction, including hip fractures,"" said study author Dr. Heike Bischoff-Ferrari, from the Center on Aging and Mobility at the University of Zurich and Wald City Hospital, also in Zurich. ",getting old,0.106262678,-0.040733706,0.227520935,0.110240467,-0.017090617
101,aging,aging,Please Note: You are viewing the non-styled version of The Ohio Department of Aging. ,getting old,-0.397283162,-0.145611151,1.153199635,0.938539405,-0.082108947
102,aging,aging,That he lives in an aging mall on the outskirts of the town. ,getting old,-0.055057178,-0.021141119,0.151286963,0.131909589,-0.055338404
103,aging,aging,"I suspect from talking with some of my older friends that what I'm going through now is an adjustment many women have to make when dealing with an aging partner... but no one talks about it openly (except me, apparently). ",getting old,0.017114894,0.065295702,-0.024468135,0.025341636,-0.004132265
104,aging,aging,"Since stress is an essential part of life, we're all going to worry to some extent-whether it's about aging, making our mortgage payments, or downsizing. ",getting old,-0.067413973,-0.020642013,0.034812196,0.117036045,-0.026292892
105,aging,aging,"I do not claim that no adjuncts have these tasks, but they typically fall most heavily on the shoulders of those aging slackers we see parodied in some screeds. ",getting old,0.052018938,0.048395308,-0.022530385,-0.104625255,0.08100699
106,aging,aging,"However, this increase was still very small, said one of the study's investigators, Lenore J. Launer, Ph.D., chief of the Neuroepidemiology Section at the National Institute on Aging (NIA). ",getting old,0.026703324,-0.230384673,1.667982247,0.055747746,-0.006469806
107,aging,aging,"As an aging baby boomer (60) I will only be affected for a few more years, however I am a healthcare provider also. ",getting old,0.023392192,0.111995479,-0.054686388,0.14972102,-0.051682703
108,aging,aging,Some of the former banda land residents are aging and running out of time. ,getting old,-0.161189484,-0.224159273,0.079145349,0.274056673,-0.051783357
109,aging,aging,"She has a geodesic dome on Cortes Island to an aging southern mansion on Peachtree Street in Atlanta, and now divides her time between New York and San Francisco. ",getting old,-0.003089296,0.053801586,-0.028509988,-0.035243242,0.006545211
110,aging,aging,"The fact that Stewart makes with aging, only makes him look smaller than the 5? 2? that he is (in his shoe lifts of course). ",getting old,-0.179519681,-0.198146243,0.163412357,0.225324359,-0.088429458
111,aging,aging,Radiation sickness is also called' radiation poisoning.' It can cause premature aging or even death. ,getting old,0.025523508,0.074363401,-0.002543572,-0.009439788,0.005950456
112,aging,aging,"Without these programs, tens of millions of working Americans, in the prime of their careers (ages 35-- 49) would be forced to care for aging parents. ",getting old,-0.003767692,0.022736793,0.000601987,0.018822003,-0.005685793
113,chest,chest,"I hate drying myself off only to feel a trickle of sweat down my chest, and ending my showers with a cold rinse is really helpful. ",breasts,-0.024392196,-0.077578057,0.040347644,0.263956541,-0.135701808
114,chest,chest,I weigh 219 pounds currently and am 5 feet. i will not give up as my mom said she would run a 5k with me in june. what most difficult for me is that'i have a very large chest and my back kills me afterwards! ,breasts,0.012161629,0.020701067,-0.003885336,0.254870252,-0.154100513
115,chest,chest,"The ball had struck his chest at the precise millisecond between heartbeats, sending him into cardiac arrest, his doctors have said. ",breasts,0.009629569,-0.008117905,-0.010715966,0.319065624,-0.089919734
116,chest,chest,"The rest of the physical examination, including her vaginal wall, chest and abdomen, was normal. ",breasts,0.018442482,-0.06534728,0.080491704,0.007280934,-0.005747375
117,chest,chest,"I pure the cold water over me quickly and breathe out when I do so, chest, back and head. ",breasts,0.009811415,0.002655677,-0.1061361,0.103118763,-0.02547818
118,chest,chest,"My hair, neck, and chest (all things I usually left exposed) disappeared beneath the folds of my scarf, and I began to find genuine appreciation in the simplicity of only seeing my face. ",breasts,0.04470644,-0.022759304,0.101259833,0.404374404,-0.05990946
119,chest,chest,"Gushes the enthusiastic marketer: ""Kenney transforms herself from young, broke, and miserable in crappy jobs ("" The worst thing was my boss who stared at my chest empowered as a self-made **40;8274;TOOLONG... To read this, you'd think Kenney was something of a feminist heroine. ",breasts,-0.024451768,-0.028974252,0.007061061,0.089332192,-0.14903602
120,chest,chest,"her previous hairstyle was far too long, but this is not the look for her either, she appears to have a bit of half up do only makes her hairline look really odd, i was also so distracted by how shiny (even greasy), her chest and cleavage looked on camera last night, a lighter hand with the body oil was needed... ",breasts,-0.067045315,-0.066640134,0.01150352,0.37574339,-0.095776083
121,chest,chest,The photo showed the singer topless with an arrow pointing at her chest along with a sexually-explicit description. ,breasts,0.003091185,0.034669128,-0.009423968,0.164034653,-0.128333093
122,chest,chest,"After several ten and eleven-year-old girls attending the school accused him of touching them inappropriately on the chest, Andrew was arrested and charged with several counts of endangering the welfare of children and sexual abuse. ",breasts,0.030047797,0.029763562,-0.005202316,0.026383444,-0.029682786
123,demise,demise,It shows how government intervention in social conscious can lead to our own demise. ,death,-0.080927683,-0.044113857,0.014688513,0.310259433,-0.130154609
124,demise,demise,"There are some who say it is a coroner's report that will lead to our demise. "" ",death,0.028073845,0.012444988,-0.010578423,0.072799869,-0.024901375
125,demise,demise,"My pointing out that the Romance languages have also lost their case systems seemed relevant, since the comment about lack of nuance was related to the demise of ""whom"" in English. ",death,-0.035971941,-0.075875436,0.042645765,0.172006165,-0.035880406
126,demise,demise,"become is still linking, right? (This one seems to sound incorrect for some reason, but I guess it is right. blame for the catastrophe'is correct... then what about: Whom to blame for the catastrophe'or whom to blame for his demise? ( absence the verb ""is"") ",death,0.004206317,-0.000731663,-0.004634795,0.106324502,-0.021523803
127,demise,demise,"At the Vatican, following the demise of the Pope, the conclave to elect his successor settles on Cardinal Melville. ",death,0.020112878,0.092889339,-0.215186103,-0.027677127,0.006049499
128,demise,demise,The medical profession and big pharma will then milk you and your bank account dry while treating the symptoms until your demise. ,death,-0.083444323,-0.077366323,0.016219816,0.093714596,-0.097750495
129,demise,demise,Even Ace felt a little guilty after Weiner's demise. ,death,-0.022993391,-0.009566025,0.020685651,0.106569451,-0.036090276
130,demise,demise,"Anyway I think the island effect you spoke of is right on, I think some regions will be hit more than others-but I don't think it means the demise of the species-and even if it does-nothing lasts forever, I am actually okay with that. ",death,-0.000211797,-0.067123598,0.09578923,0.235273952,-0.028753931
131,demise,demise,Walt initially pursues this extreme measure as an attempt to secure his family's future beyond his own demise from lung cancer. ,death,-0.054740916,-0.030143354,0.072266624,0.208645555,-0.069263082
132,demise,demise,"As I knew it would, this book broke my heart as I read of how Ivan had been captured and treated by Mack and witnessed Stella's demise. ",death,0.029523808,0.011214734,-0.001798184,0.084503863,-0.017662546
133,demise,demise,"Eye of Sound: To celebrate the news of Peter ""Sleazy"" Christopherson's demise yesterday, a recording of Coil's performance at the Air Gallery in London in 1983. ",death,0.010296404,-0.032503873,0.033723297,0.113109224,-0.017552046
134,demise,demise,"Unsure what to do and feeling he could never be forgiven for what he had done, as well as desperate to save his wife Padm Amidala from the possibility of a presaged demise, Skywalker complied and was ""knighted"" by Sidious as his new apprentice, Darth Vader, Lord of the Sith. ",death,-0.006512956,-0.027941056,0.005774061,0.090951167,-0.021189474
135,demise,demise,"Time after time we see the intelligence, patience, and foresight of an extraordinarily gifted man on display as our EXCELLENT president accomplishes one more notable achievement with the liberation of the people of Libya and the demise of the dictator. ",death,0.08924452,-0.01655616,0.257017255,0.285752924,-0.048507172
136,demise,demise,"To actually do something, to care about something, instead of resigning ourselves to simply being more aware than the average joe of our demise. ",death,0.036274755,0.088359193,-0.073510522,0.273419433,-0.073647782
137,demise,demise,"But unlike Mark Twain's famous declaration that he was still alive 115 years ago, the erroneous accounts about the former Penn State football coach's demise traveled far and wide within minutes, whipped into a firestorm by social media. ",death,0.011244585,-0.008019702,-0.008266696,0.035734269,-0.009248118
138,demise,demise,"I believe that the Bombers life would have be better utilized as a platform for transplant, than their chosen demise. ",death,0.019507578,0.032331775,-0.093814367,0.095729456,-0.02350413
139,demise,demise,Stargate Atlantis: If Carson Beckett's untimely demise doesn't count then nothing does. ,death,0.031460866,0.013042847,-0.016755344,0.001611335,-0.000522961
